name,ion,wl,flux,rms,I
PN9m    ,[NeIII]/HI, 3968  ,  0.  , 0.  ,   0. 
PN9m    ,     [SII], 4070  ,  0.  , 0.  ,   0. 
PN9m    ,        HI, 4100  , 25.7 , 0.3 ,  35.2
PN9m    ,        HI, 4340  , 43.5 , 0.4 ,  53.9
PN9m    ,    [OIII], 4363  ,  2.2 , 0.1 ,   2.7
PN9m    ,       HeI, 4471  ,  0.  , 0.  ,   0. 
PN9m    ,      HeII, 4540  ,  0.  , 0.  ,   0. 
PN9m    ,      HeII, 4686  ,  0.  , 0.  ,   0. 
PN9m    ,HeI/[ArIV], 4712  ,  0.  , 0.  ,   0. 
PN9m    ,    [ArIV], 4740  ,  0.  , 0.  ,   0. 
PN9m    ,        HI, 4861  ,100.  , 0.4 , 100. 
PN9m    ,    [OIII], 4959  , 43.1 , 0.3 ,  41.4
PN9m    ,    [OIII], 5007  ,120.6 , 0.5 , 113.5
PN9m    ,      HeII, 5411  ,  0.  , 0.  ,   0. 
PN9m    ,     [NII], 5755  ,  1.1 , 0.3 ,   0.8
PN9m    ,       HeI, 5876  ,  0.  , 0.  ,   0. 
PN9m    ,      [OI], 6300  ,  0.  , 0.  ,   0. 
PN9m    ,    [SIII], 6312  ,  0.  , 0.  ,   0. 
PN9m    ,      [OI], 6363  ,  0.  , 0.  ,   0. 
PN9m    ,     [NII], 6548  , 51.4 , 0.3 ,  31.1
PN9m    ,        HI, 6563  ,483.6 , 1.1 , 291.4
PN9m    ,     [NII], 6584  ,162.1 , 0.6 ,  97.2
PN9m    ,       HeI, 6678  ,  5.9 , 0.1 ,   3.5
PN9m    ,     [SII], 6717  , 45.7 , 0.3 ,  26.6
PN9m    ,     [SII], 6731  , 32.1 , 0.3 ,  18.6
PN9m    ,       HeI, 6891  ,  0.  , 0.  ,   0. 
PN9m    ,     [ArV], 7005  ,  0.  , 0.  ,   0. 
PN9m    ,       HeI, 7065  ,  0.  , 0.  ,   0. 
PN9m    ,   [ArIII], 7135  , 16.9 , 0.3 ,   8.9
PN9m    ,     [OII], 7320  ,  0.  , 0.  ,   0. 
PN9m    ,     [OII], 7330  ,  0.  , 0.  ,   0. 
PN9m    ,   [ArIII], 7751  ,  0.  , 0.  ,   0. 
PN9m    ,    [SIII], 9069  ,  0.  , 0.  ,   0. 
PN15m   ,     [OII], 3727  ,  0.  , 0.  ,   0. 
PN15m   ,       HeI, 3805  ,  0.  , 0.  ,   0. 
PN15m   ,        HI, 3835  ,  0.  , 0.  ,   0. 
PN15m   ,   [NeIII], 3869  ,  0.  , 0.  ,   0. 
PN15m   ,       HeI, 3889  ,  0.  , 0.  ,   0. 
PN15m   ,[NeIII]/HI, 3968  ,  0.  , 0.  ,   0. 
PN15m   ,     [SII], 4070  ,  0.  , 0.  ,   0. 
PN15m   ,        HI, 4100  ,  0.  , 0.  ,   0. 
PN15m   ,        HI, 4340  , 84.3 , 6.7 ,  84.5
PN15m   ,    [OIII], 4363  , 10.4 , 2.3 ,  10.4
PN15m   ,       HeI, 4471  ,  0.  , 0.  ,   0. 
PN15m   ,      HeII, 4540  ,  0.  , 0.  ,   0. 
PN15m   ,      HeII, 4686  ,  0.  , 0.  ,   0. 
PN15m   ,HeI/[ArIV], 4712  ,  0.  , 0.  ,   0. 
PN15m   ,    [ArIV], 4740  ,  0.  , 0.  ,   0. 
PN15m   ,        HI, 4861  ,100.  , 1.5 , 100. 
PN15m   ,    [OIII], 4959  ,295.5 , 1.5 , 295.4
PN15m   ,    [OIII], 5007  ,862.7 , 2.9 , 862.2
PN15m   ,      HeII, 5411  ,  0.  , 0.  ,   0. 
PN15m   ,     [NII], 5755  ,  0.  , 0.  ,   0. 
